FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBgn0000182	0	3.32537e-06	0	0	0	0.0198814
FBgn0013433	2.79371	2.3051	2.60325	2.37173	3.05012	3.02693
FBgn0051820	0	0	0	0	0	0
FBgn0028645	7.6625	6.93951	7.10198	5.80434	7.61714	6.13293
FBgn0051821	0	0	0	0.0415861	0	0
FBgn0051823	0.0435018	0	0.0694009	0	0.0803063	0
FBgn0041183	0.741763	0.572209	0.508645	0.582361	0.372362	0.515797
FBgn0028935	0	0	0	0	0	0
FBgn0051822	0	0	0	0	0	0
FBgn0028900	0	0	0.0469184	0	0	0
FBgn0028520	0	0	0	0	0	0
FBgn0028884	0	0	0	0	0	0
FBgn0028893	0	0.0321689	0	0.0327396	0.0324135	0.0376184
FBgn0028515	42.2145	38.9748	36.4365	40.7238	37.0678	56.5846
FBgn0028897	1.60071	3.09561	1.70247	2.10035	2.57193	2.66738
FBgn0040079	23.504	22.5584	18.8978	16.7288	20.6165	19.2968
FBgn0028896	0	0.103238	0.179795	0.10507	0.104023	0.241454
FBgn0001992	0.0324165	0.0296954	0.0322563	0.056553	0	0.0216601
FBgn0028895	1.93812	1.29458	0.837438	1.61871	0.67633	1.46766
FBgn0028525	0.405926	0.0697222	0.323799	0.189224	0.210757	0.271778
FBgn0011708	20.4312	15.9912	14.6258	14.1169	17.9569	17.158
FBgn0001086	0.262182	0.320295	0.325321	0.19012	0.242006	0.280857
FBgn0014092	14.862	12.5586	13.8874	15.9485	19.4851	17.4153
FBgn0040984	0	0	0	0	0	0
FBgn0028506	5.71356	8.22994	6.78924	7.27385	6.5831	5.19195
FBgn0025678	27.5527	33.8003	29.7887	28.2816	37.2392	34.9626
FBgn0000307	13.146	12.4146	13.8176	12.4926	12.1226	13.0926
FBgn0028899	0.350973	0.643024	0.792239	0.61266	0.330849	0.447972
FBgn0001995	17.9243	14.3525	16.2008	15.0279	19.1631	14.7118
FBgn0000250	41.7116	35.4123	36.5001	33.2167	37.6412	36.8308
FBgn0000339	79.8812	69.723	71.2364	66.8895	70.8215	64.0071
FBgn0015338	31.9956	29.9313	24.1244	21.0285	27.1325	26.9477
FBgn0028894	16.876	15.1081	12.2378	17.2832	11.7417	12.463
FBgn0028375	11.0503	12.8864	12.7876	12.4326	12.4406	13.3865
FBgn0032582	0	0.24563	0	0.249987	0.16499	0
FBgn0001994	35.4491	40.3054	37.5488	34.0891	34.5416	34.8996
FBgn0002673	1.12851	1.62096	1.5546	1.81699	2.13031	1.31865
FBgn0024734	245.649	474.915	369.976	414.408	338.54	189.786
FBgn0020416	247.659	179.239	204.828	227.055	135.093	240.131
FBgn0020415	234.791	235.297	205.828	171.366	161.434	178.508
FBgn0020414	153.114	182.979	168.836	148.692	153.468	141.672
FBgn0032585	0	0	0	0	0	0
FBgn0032586	42.2637	41.343	34.6333	35.4791	33.6574	30.9402
FBgn0051816	0	0	0.270872	0	0	0
FBgn0051815	0.0402534	0.184372	0.321092	0.300228	0.148619	0.172484
FBgn0032590	0.254341	0.155327	0.219789	0.276645	0.371707	0.27246
FBgn0032588	0	0	0	0	0	0
FBgn0032587	10.33	10.5307	13.4169	14.1689	10.341	10.3272
FBgn0028523	44.6123	45.3245	45.2074	39.4845	35.9281	35.3838
FBgn0001185	19.8031	23.6508	20.0544	17.7258	21.1691	15.4487
FBgn0051812	2.14887	1.68142	1.92845	3.0886	1.94214	2.39787
FBgn0032597	29.7346	39.4056	39.4675	33.0766	50.6946	43.9019
FBgn0032598	0.304002	0.208863	0.30312	0.283424	0.327368	0.434212
FBgn0032600	77.6289	91.7569	90.2563	84.6645	80.0491	83.0003
FBgn0032601	25.1044	23.6541	23.0004	28.9888	24.5977	34.6583
FBgn0032603	43.0634	37.753	40.6454	47.2544	40.4974	36.9298
FBgn0040262	0.258487	0.135307	0.05891	0.274558	0.0906081	0.31646
FBgn0040261	0	0.0337559	0	0.0343548	0	0.0394742
FBgn0040260	15.8542	11.6258	15.1124	17.4394	16.8909	18.6198
FBgn0004797	62.0766	64.628	51.2231	41.129	32.2161	53.2366
FBgn0051739	15.2011	16.1536	15.4111	13.13	15.9169	14.4435
FBgn0051781	98.0321	52.4053	72.9987	85.538	62.449	82.8103
FBgn0032615	0.0622499	0.114049	0	0.174109	0	0.133369
FBgn0051809	0.530855	0.486294	0.338761	0.445429	0.440992	0.568673
FBgn0051810	1.61836	1.38027	1.33544	1.50881	1.28774	1.01628
FBgn0032614	17.2423	18.313	15.9386	15.26	16.8972	15.1427
FBgn0032613	30.4426	24.149	21.3321	19.2003	11.5762	21.2455
FBgn0032612	0.706605	0.388375	0.620009	0.625796	0.717434	0.416772
FBgn0022213	12.142	10.3024	11.5401	14.5957	12.2724	11.3835
FBgn0032609	0.712497	0.343204	0.149173	0.209337	0.17322	0.320914
FBgn0032602	0.307214	0.186203	0.0973085	0.227457	0.112591	0.261341
FBgn0015391	2.08183	2.88279	2.52957	1.6588	2.72596	2.16531
FBgn0032596	53.8174	39.6945	43.24	43.4843	39.9648	40.8948
FBgn0032595	29.8141	20.1549	19.5855	22.8908	24.2815	42.1855
FBgn0027779	144.042	200.673	188.355	164.98	170.084	154.379
FBgn0062978	139.769	106.609	108.667	104.692	97.9795	105.35
FBgn0051807	0	0.250225	0	0	0.0661641	0
FBgn0032593	0.123685	0.217163	0.131548	0.0960937	0.133192	0.121455
FBgn0032618	107.363	93.9278	92.4809	113.439	82.2694	116.549
FBgn0053179	10.5331	9.0046	9.90727	10.6038	10.1181	9.92356
FBgn0051806	0.516417	0.420193	0.640278	0.534553	1.05848	1.1033
FBgn0032625	0	0	0	0	0	0
FBgn0032624	0	0	0	0	0	0
FBgn0026150	17.2588	20.2641	18.6295	18.4145	21.2319	22.6156
FBgn0032620	0.614712	0.633512	0.950039	0.286551	1.20571	1.02891
FBgn0051805	0	0	0	0	0	0
FBgn0040985	264.159	317.374	236.418	207.15	260.299	196.368
FBgn0052832	0.274784	0.101049	0.0879963	0	0.305478	0.118174
FBgn0045487	0	0	0.171119	0	0.0495021	0
FBgn0045486	0	0.243396	0.084777	0.0990855	0.0980985	0
FBgn0045485	0.107592	0	0.0858237	0.200618	0.0496548	0.115257
FBgn0046888	0.0506681	0	0.0808337	0	0.0935356	0.108555
FBgn0051804	0	0	0	0	0	0
